Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","031","Azerbaijan","5111","Stocks","02122","Sheep","2020","2020","An","7483725","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5111","Stocks","02140","Swine / pigs","2020","2020","An","5877","A","Official figure",""
"QCL","Crops and livestock products","044","Bahamas","5111","Stocks","02111","Cattle","2020","2020","An","743","I","Imputed value",""
"QCL","Crops and livestock products","044","Bahamas","5112","Stocks","02151","Chickens","2020","2020","1000 An","3184","I","Imputed value",""
"QCL","Crops and livestock products","044","Bahamas","5111","Stocks","02123","Goats","2020","2020","An","15092","I","Imputed value",""
"QCL","Crops and livestock products","044","Bahamas","5111","Stocks","02122","Sheep","2020","2020","An","6591","I","Imputed value",""
"QCL","Crops and livestock products","044","Bahamas","5111","Stocks","02140","Swine / pigs","2020","2020","An","5026","I","Imputed value",""
"QCL","Crops and livestock products","048","Bahrain","5111","Stocks","02111","Cattle","2020","2020","An","7000","A","Official figure",""
"QCL","Crops and livestock products","048","Bahrain","5112","Stocks","02151","Chickens","2020","2020","1000 An","1500","E","Estimated value",""
"QCL","Crops and livestock products","048","Bahrain","5111","Stocks","02123","Goats","2020","2020","An","21000","A","Official figure",""
"QCL","Crops and livestock products","048","Bahrain","5111","Stocks","02122","Sheep","2020","2020","An","60000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5111","Stocks","02112","Buffalo","2020","2020","An","1493000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5111","Stocks","02111","Cattle","2020","2020","An","24391000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5112","Stocks","02151","Chickens","2020","2020","1000 An","296602","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5111","Stocks","02123","Goats","2020","2020","An","58343086","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5111","Stocks","02122","Sheep","2020","2020","An","2059743","I","Imputed value",""
"QCL","Crops and livestock products","052","Barbados","5111","Stocks","02111","Cattle","2020","2020","An","11913","I","Imputed value",""
"QCL","Crops and livestock products","052","Barbados","5112","Stocks","02151","Chickens","2020","2020","1000 An","4606","I","Imputed value",""
"QCL","Crops and livestock products","052","Barbados","5111","Stocks","02123","Goats","2020","2020","An","5546","I","Imputed value",""
"QCL","Crops and livestock products","052","Barbados","5111","Stocks","02122","Sheep","2020","2020","An","13198","I","Imputed value",""
"QCL","Crops and livestock products","052","Barbados","5111","Stocks","02140","Swine / pigs","2020","2020","An","23805","I","Imputed value",""
"QCL","Crops and livestock products","112","Belarus","5111","Stocks","02111","Cattle","2020","2020","An","4287700","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5112","Stocks","02151","Chickens","2020","2020","1000 An","103947","I","Imputed value",""
"QCL","Crops and livestock products","112","Belarus","5111","Stocks","02123","Goats","2020","2020","An","56900","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5111","Stocks","02122","Sheep","2020","2020","An","87400","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5111","Stocks","02140","Swine / pigs","2020","2020","An","2844700","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02111","Cattle","2020","2020","An","2335440","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5112","Stocks","02151","Chickens","2020","2020","1000 An","53362","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5111","Stocks","02140","Swine / pigs","2020","2020","An","6218270","A","Official figure",""
"QCL","Crops and livestock products","084","Belize","5111","Stocks","02111","Cattle","2020","2020","An","103144","I","Imputed value",""
"QCL","Crops and livestock products","084","Belize","5112","Stocks","02151","Chickens","2020","2020","1000 An","1667","I","Imputed value",""
"QCL","Crops and livestock products","084","Belize","5111","Stocks","02123","Goats","2020","2020","An","188","I","Imputed value",""
"QCL","Crops and livestock products","084","Belize","5111","Stocks","02122","Sheep","2020","2020","An","15411","I","Imputed value",""
"QCL","Crops and livestock products","084","Belize","5111","Stocks","02140","Swine / pigs","2020","2020","An","22346","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5111","Stocks","02111","Cattle","2020","2020","An","1937604","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5112","Stocks","02151","Chickens","2020","2020","1000 An","14005","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5111","Stocks","02123","Goats","2020","2020","An","2880913","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5111","Stocks","02122","Sheep","2020","2020","An","2361945","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5111","Stocks","02140","Swine / pigs","2020","2020","An","750868","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5111","Stocks","02112","Buffalo","2020","2020","An","52365","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5111","Stocks","02111","Cattle","2020","2020","An","281015","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5112","Stocks","02151","Chickens","2020","2020","1000 An","1384","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5111","Stocks","02123","Goats","2020","2020","An","44119","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5111","Stocks","02122","Sheep","2020","2020","An","10793","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5111","Stocks","02140","Swine / pigs","2020","2020","An","17577","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5111","Stocks","02111","Cattle","2020","2020","An","10103767","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5112","Stocks","02151","Chickens","2020","2020","1000 An","217493","I","Imputed value",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5111","Stocks","02123","Goats","2020","2020","An","2266351","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5111","Stocks","02122","Sheep","2020","2020","An","7612750","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5111","Stocks","02140","Swine / pigs","2020","2020","An","3209604","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5111","Stocks","02111","Cattle","2020","2020","An","427461","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5112","Stocks","02151","Chickens","2020","2020","1000 An","16658","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5111","Stocks","02123","Goats","2020","2020","An","71336","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5111","Stocks","02122","Sheep","2020","2020","An","1014427","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5111","Stocks","02140","Swine / pigs","2020","2020","An","546771","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5111","Stocks","02111","Cattle","2020","2020","An","950000","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5112","Stocks","02151","Chickens","2020","2020","1000 An","844","I","Imputed value",""
"QCL","Crops and livestock products","072","Botswana","5111","Stocks","02123","Goats","2020","2020","An","1240161","I","Imputed value",""
"QCL","Crops and livestock products","072","Botswana","5111","Stocks","02122","Sheep","2020","2020","An","235743","I","Imputed value",""
"QCL","Crops and livestock products","072","Botswana","5111","Stocks","02140","Swine / pigs","2020","2020","An","1890","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02112","Buffalo","2020","2020","An","1502254","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02111","Cattle","2020","2020","An","217836282","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5112","Stocks","02151","Chickens","2020","2020","1000 An","1478424","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02123","Goats","2020","2020","An","12101686","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02122","Sheep","2020","2020","An","20623064","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02140","Swine / pigs","2020","2020","An","41211188","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5111","Stocks","02112","Buffalo","2020","2020","An","2300","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5111","Stocks","02111","Cattle","2020","2020","An","583","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5112","Stocks","02151","Chickens","2020","2020","1000 An","19437","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5111","Stocks","02123","Goats","2020","2020","An","6110","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5111","Stocks","02122","Sheep","2020","2020","An","4296","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5111","Stocks","02140","Swine / pigs","2020","2020","An","1130","E","Estimated value",""
"QCL","Crops and livestock products","100","Bulgaria","5111","Stocks","02112","Buffalo","2020","2020","An","20180","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5111","Stocks","02111","Cattle","2020","2020","An","588910","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5112","Stocks","02151","Chickens","2020","2020","1000 An","17177","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5111","Stocks","02123","Goats","2020","2020","An","253400","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5111","Stocks","02122","Sheep","2020","2020","An","1307770","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5111","Stocks","02140","Swine / pigs","2020","2020","An","592100","A","Official figure",""
"QCL","Crops and livestock products","854","Burkina Faso","5111","Stocks","02111","Cattle","2020","2020","An","7607000","A","Official figure",""
"QCL","Crops and livestock products","854","Burkina Faso","5112","Stocks","02151","Chickens","2020","2020","1000 An","45051","A","Official figure",""
"QCL","Crops and livestock products","854","Burkina Faso","5111","Stocks","02123","Goats","2020","2020","An","12956000","A","Official figure",""
"QCL","Crops and livestock products","854","Burkina Faso","5111","Stocks","02122","Sheep","2020","2020","An","9589000","A","Official figure",""
"QCL","Crops and livestock products","854","Burkina Faso","5111","Stocks","02140","Swine / pigs","2020","2020","An","1674000","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5111","Stocks","02111","Cattle","2020","2020","An","619348","I","Imputed value",""
"QCL","Crops and livestock products","108","Burundi","5112","Stocks","02151","Chickens","2020","2020","1000 An","2684","I","Imputed value",""
"QCL","Crops and livestock products","108","Burundi","5111","Stocks","02123","Goats","2020","2020","An","3365897","E","Estimated value",""
"QCL","Crops and livestock products","108","Burundi","5111","Stocks","02122","Sheep","2020","2020","An","747042","I","Imputed value",""
"QCL","Crops and livestock products","108","Burundi","5111","Stocks","02140","Swine / pigs","2020","2020","An","845781","I","Imputed value",""
"QCL","Crops and livestock products","132","Cabo Verde","5111","Stocks","02111","Cattle","2020","2020","An","29519","A","Official figure",""
"QCL","Crops and livestock products","132","Cabo Verde","5112","Stocks","02151","Chickens","2020","2020","1000 An","650","E","Estimated value",""
"QCL","Crops and livestock products","132","Cabo Verde","5111","Stocks","02123","Goats","2020","2020","An","131737","A","Official figure",""
"QCL","Crops and livestock products","132","Cabo Verde","5111","Stocks","02122","Sheep","2020","2020","An","18768","A","Official figure",""
"QCL","Crops and livestock products","132","Cabo Verde","5111","Stocks","02140","Swine / pigs","2020","2020","An","70206","A","Official figure",""
"QCL","Crops and livestock products","116","Cambodia","5111","Stocks","02112","Buffalo","2020","2020","An","677243","I","Imputed value",""
"QCL","Crops and livestock products","116","Cambodia","5111","Stocks","02111","Cattle","2020","2020","An","2756878","I","Imputed value",""
"QCL","Crops and livestock products","116","Cambodia","5112","Stocks","02151","Chickens","2020","2020","1000 An","12526","I","Imputed value",""
"QCL","Crops and livestock products","116","Cambodia","5111","Stocks","02140","Swine / pigs","2020","2020","An","2108052","E","Estimated value",""
"QCL","Crops and livestock products","120","Cameroon","5111","Stocks","02111","Cattle","2020","2020","An","5976733","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5112","Stocks","02151","Chickens","2020","2020","1000 An","20000","E","Estimated value",""
"QCL","Crops and livestock products","120","Cameroon","5111","Stocks","02123","Goats","2020","2020","An","6550609","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5111","Stocks","02122","Sheep","2020","2020","An","3600670","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5111","Stocks","02140","Swine / pigs","2020","2020","An","2169948","I","Imputed value",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02111","Cattle","2020","2020","An","11540000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5112","Stocks","02151","Chickens","2020","2020","1000 An","172370","I","Imputed value",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02123","Goats","2020","2020","An","29995","I","Imputed value",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02122","Sheep","2020","2020","An","810800","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2020","2020","An","14065000","A","Official figure",""
"QCL","Crops and livestock products","140","Central African Republic","5111","Stocks","02111","Cattle","2020","2020","An","4617762","E","Estimated value",""
"QCL","Crops and livestock products","140","Central African Republic","5112","Stocks","02151","Chickens","2020","2020","1000 An","6929","E","Estimated value",""
"QCL","Crops and livestock products","140","Central African Republic","5111","Stocks","02123","Goats","2020","2020","An","6189917","E","Estimated value",""
"QCL","Crops and livestock products","140","Central African Republic","5111","Stocks","02122","Sheep","2020","2020","An","428034","E","Estimated value",""
"QCL","Crops and livestock products","140","Central African Republic","5111","Stocks","02140","Swine / pigs","2020","2020","An","1062888","I","Imputed value",""
"QCL","Crops and livestock products","148","Chad","5111","Stocks","02111","Cattle","2020","2020","An","32237209","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5112","Stocks","02151","Chickens","2020","2020","1000 An","5989","E","Estimated value",""
"QCL","Crops and livestock products","148","Chad","5111","Stocks","02123","Goats","2020","2020","An","41190044","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5111","Stocks","02122","Sheep","2020","2020","An","38705279","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5111","Stocks","02140","Swine / pigs","2020","2020","An","112772","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02111","Cattle","2020","2020","An","3193276","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5112","Stocks","02151","Chickens","2020","2020","1000 An","55429","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02123","Goats","2020","2020","An","408346","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02122","Sheep","2020","2020","An","1994034","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2020","2020","An","2713123","A","Official figure",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02112","Buffalo","2020","2020","An","27144007","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02111","Cattle","2020","2020","An","62092468","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5112","Stocks","02151","Chickens","2020","2020","1000 An","5233083","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02123","Goats","2020","2020","An","133583765","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02122","Sheep","2020","2020","An","173095502","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02140","Swine / pigs","2020","2020","An","412135713","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5111","Stocks","02112","Buffalo","2020","2020","An","414637","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5111","Stocks","02111","Cattle","2020","2020","An","27973390","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5112","Stocks","02151","Chickens","2020","2020","1000 An","210541","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5111","Stocks","02123","Goats","2020","2020","An","1136839","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5111","Stocks","02122","Sheep","2020","2020","An","1779697","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5111","Stocks","02140","Swine / pigs","2020","2020","An","5950113","A","Official figure",""
"QCL","Crops and livestock products","174","Comoros","5111","Stocks","02111","Cattle","2020","2020","An","51093","I","Imputed value",""
"QCL","Crops and livestock products","174","Comoros","5112","Stocks","02151","Chickens","2020","2020","1000 An","543","I","Imputed value",""
"QCL","Crops and livestock products","174","Comoros","5111","Stocks","02123","Goats","2020","2020","An","121033","I","Imputed value",""
"QCL","Crops and livestock products","174","Comoros","5111","Stocks","02122","Sheep","2020","2020","An","25673","I","Imputed value",""
"QCL","Crops and livestock products","178","Congo","5111","Stocks","02111","Cattle","2020","2020","An","336119","I","Imputed value",""
"QCL","Crops and livestock products","178","Congo","5112","Stocks","02151","Chickens","2020","2020","1000 An","2942","E","Estimated value",""
"QCL","Crops and livestock products","178","Congo","5111","Stocks","02123","Goats","2020","2020","An","327190","I","Imputed value",""
"QCL","Crops and livestock products","178","Congo","5111","Stocks","02122","Sheep","2020","2020","An","125846","I","Imputed value",""
"QCL","Crops and livestock products","178","Congo","5111","Stocks","02140","Swine / pigs","2020","2020","An","100034","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5111","Stocks","02111","Cattle","2020","2020","An","117","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5112","Stocks","02151","Chickens","2020","2020","1000 An","18","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5111","Stocks","02123","Goats","2020","2020","An","880","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5111","Stocks","02140","Swine / pigs","2020","2020","An","25568","E","Estimated value",""
"QCL","Crops and livestock products","188","Costa Rica","5111","Stocks","02111","Cattle","2020","2020","An","1427793","A","Official figure",""
"QCL","Crops and livestock products","188","Costa Rica","5112","Stocks","02151","Chickens","2020","2020","1000 An","25858","I","Imputed value",""
"QCL","Crops and livestock products","188","Costa Rica","5111","Stocks","02123","Goats","2020","2020","An","67000","E","Estimated value",""
"QCL","Crops and livestock products","188","Costa Rica","5111","Stocks","02122","Sheep","2020","2020","An","2855","I","Imputed value",""
"QCL","Crops and livestock products","188","Costa Rica","5111","Stocks","02140","Swine / pigs","2020","2020","An","405613","A","Official figure",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5111","Stocks","02111","Cattle","2020","2020","An","1756473","A","Official figure",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5112","Stocks","02151","Chickens","2020","2020","1000 An","84870","I","Imputed value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5111","Stocks","02123","Goats","2020","2020","An","3657168","A","Official figure",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5111","Stocks","02122","Sheep","2020","2020","An","2262971","A","Official figure",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5111","Stocks","02140","Swine / pigs","2020","2020","An","439404","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5111","Stocks","02111","Cattle","2020","2020","An","423000","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5112","Stocks","02151","Chickens","2020","2020","1000 An","11360","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5111","Stocks","02123","Goats","2020","2020","An","86000","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5111","Stocks","02122","Sheep","2020","2020","An","662000","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5111","Stocks","02140","Swine / pigs","2020","2020","An","1033000","A","Official figure",""
"QCL","Crops and livestock products","192","Cuba","5111","Stocks","02111","Cattle","2020","2020","An","3752400","A","Official figure",""
"QCL","Crops and livestock products","192","Cuba","5112","Stocks","02151","Chickens","2020","2020","1000 An","30245","A","Official figure",""
"QCL","Crops and livestock products","192","Cuba","5111","Stocks","02123","Goats","2020","2020","An","713900","A","Official figure",""
"QCL","Crops and livestock products","192","Cuba","5111","Stocks","02122","Sheep","2020","2020","An","1458200","A","Official figure",""
"QCL","Crops and livestock products","192","Cuba","5111","Stocks","02140","Swine / pigs","2020","2020","An","1120699","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5111","Stocks","02112","Buffalo","2020","2020","An","0","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5111","Stocks","02111","Cattle","2020","2020","An","83030","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5112","Stocks","02151","Chickens","2020","2020","1000 An","4655","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5111","Stocks","02123","Goats","2020","2020","An","261110","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5111","Stocks","02122","Sheep","2020","2020","An","326330","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5111","Stocks","02140","Swine / pigs","2020","2020","An","359060","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5111","Stocks","02112","Buffalo","2020","2020","An","0","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5111","Stocks","02111","Cattle","2020","2020","An","1340040","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5112","Stocks","02151","Chickens","2020","2020","1000 An","21018","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5111","Stocks","02123","Goats","2020","2020","An","28919","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5111","Stocks","02122","Sheep","2020","2020","An","203612","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5111","Stocks","02140","Swine / pigs","2020","2020","An","1546020","A","Official figure",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5111","Stocks","02111","Cattle","2020","2020","An","581000","A","Official figure",""
